apt_id,project,neighbourhood,cohort_month,apt_status,is_registered,is_subscriber,is_recurring,is_ondemand
15,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
8,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
4,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
34,Azrieli TLV,Unknown,2023-05,TRIAL,false,false,false,false
36,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
37,Azrieli TLV,Unknown,2023-05,COLD_LEAD,false,false,false,false
33,Azrieli TLV,Unknown,2023-05,COLD_LEAD,false,false,false,false
9,Azrieli TLV,Unknown,2023-05,COLD_LEAD,false,false,false,false
21,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
5,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
18,Azrieli TLV,Unknown,2023-05,TRIAL,false,false,false,false
14,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
10,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
35,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
17,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
11,Azrieli TLV,Unknown,2023-05,TRIAL,false,false,false,false
22,Azrieli TLV,Unknown,2023-05,ON_DEMAND_SUBSCRIPTION,true,true,false,true
12,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
19,Azrieli TLV,Unknown,2023-05,CHURN,false,false,false,false
30,Azrieli TLV,Unknown,2023-06,TRIAL,false,false,false,false
24,Azrieli TLV,Unknown,2023-06,CHURN,false,false,false,false
47,Azrieli TLV,Unknown,2023-06,TRIAL,false,false,false,false
16,Azrieli TLV,Unknown,2023-06,CHURN,true,false,false,false
28,Azrieli TLV,Unknown,2023-06,TRIAL,false,false,false,false
23,Azrieli TLV,Unknown,2023-06,CHURN,false,false,false,false
27,Azrieli TLV,Unknown,2023-06,TRIAL,false,false,false,false
48,Azrieli TLV,Unknown,2023-06,CHURN,false,false,false,false
26,Azrieli TLV,Unknown,2023-06,TRIAL,false,false,false,false
25,Azrieli TLV,Unknown,2023-06,CHURN,false,false,false,false
29,Azrieli TLV,Unknown,2023-06,TRIAL,false,false,false,false
46,Azrieli TLV,Unknown,2023-06,TRIAL,false,false,false,false
67,Gindi 1,Unknown,2023-06,CHURN,false,false,false,false
61,Gindi 1,Unknown,2023-06,COLD_LEAD,false,false,false,false
63,Gindi 1,Unknown,2023-06,FROZEN,false,false,false,false
66,Gindi 1,Unknown,2023-06,CHURN,true,false,false,false
74,Gindi 1,Unknown,2023-06,ON_DEMAND_SUBSCRIPTION,false,true,false,true
74,Gindi 1,Unknown,2023-06,ON_DEMAND_SUBSCRIPTION,false,true,false,true
73,Gindi 1,Unknown,2023-06,CHURN,false,false,false,false
70,Gindi 1,Unknown,2023-06,COLD_LEAD,false,false,false,false
69,Gindi 1,Unknown,2023-06,COLD_LEAD,false,false,false,false
78,Gindi 1,Unknown,2023-06,COLD_LEAD,false,false,false,false
76,Gindi 1,Unknown,2023-06,COLD_LEAD,false,false,false,false
68,Gindi 1,Unknown,2023-06,CHURN,false,false,false,false
65,Gindi 1,Unknown,2023-06,CHURN,false,false,false,false
77,Gindi 1,Unknown,2023-06,CHURN,false,false,false,false
75,Gindi 1,Unknown,2023-06,TRIAL,false,false,false,false
62,Gindi 1,Unknown,2023-06,CHURN,false,false,false,false
71,Gindi 1,Unknown,2023-06,CHURN,false,false,false,false
72,Gindi 1,Unknown,2023-06,CHURN,false,false,false,false
95,100 House,Hoboken Polygon,2023-07,ON_DEMAND_SUBSCRIPTION,true,true,false,true
99,100 House,Hoboken Polygon,2023-07,ON_DEMAND_SUBSCRIPTION,true,true,false,true
104,100 House,Hoboken Polygon,2023-07,FREEMIUM,false,false,false,false
100,100 House,Hoboken Polygon,2023-07,CHURN,true,false,false,false
97,100 House,Hoboken Polygon,2023-07,FREEMIUM,false,false,false,false
750,100 House,Hoboken Polygon,2023-07,CHURN,true,false,false,false
135,100 House,Hoboken Polygon,2023-07,FREEMIUM,true,false,false,false
131,100 House,Hoboken Polygon,2023-07,FREEMIUM,false,false,false,false
105,100 House,Hoboken Polygon,2023-07,FREEMIUM,false,false,false,false
106,100 House,Hoboken Polygon,2023-07,FREEMIUM,false,false,false,false
107,100 House,Hoboken Polygon,2023-07,FREEMIUM,false,false,false,false
108,100 House,Hoboken Polygon,2023-07,FREEMIUM,false,false,false,false
109,100 House,Hoboken Polygon,2023-07,FREEMIUM,false,false,false,false
98,100 House,Hoboken Polygon,2023-07,FREEMIUM,true,false,false,false
114,100 House,Hoboken Polygon,2023-07,CHURN,true,false,false,false
132,829 Garfield,Floating Jersey,2023-07,COLD_LEAD,false,false,false,false
116,Azrieli TLV,Unknown,2023-07,CHURN,false,false,false,false
122,Azrieli TLV,Unknown,2023-07,ON_DEMAND_SUBSCRIPTION,false,true,false,true
133,Azrieli TLV,Unknown,2023-07,CHURN,false,false,false,false
96,Azrieli TLV,Unknown,2023-07,CHURN,false,false,false,false
83,Gindi 1,Unknown,2023-07,COLD_LEAD,false,false,false,false
73,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
88,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
75,Gindi 1,Unknown,2023-07,TRIAL,false,false,false,false
65,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
124,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
81,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
86,Gindi 1,Unknown,2023-07,COLD_LEAD,false,false,false,false
84,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
66,Gindi 1,Unknown,2023-07,CHURN,true,false,false,false
86,Gindi 1,Unknown,2023-07,COLD_LEAD,false,false,false,false
90,Gindi 1,Unknown,2023-07,TRIAL,false,false,false,false
127,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
91,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
88,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
80,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
115,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
89,Gindi 1,Unknown,2023-07,TRIAL,false,false,false,false
93,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
93,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
87,Gindi 1,Unknown,2023-07,FROZEN,false,false,false,false
92,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
86,Gindi 1,Unknown,2023-07,COLD_LEAD,false,false,false,false
88,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
85,Gindi 1,Unknown,2023-07,TRIAL,false,false,false,false
82,Gindi 1,Unknown,2023-07,ON_DEMAND_SUBSCRIPTION,false,true,false,true
130,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
79,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
81,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
93,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
75,Gindi 1,Unknown,2023-07,TRIAL,false,false,false,false
125,Gindi 1,Unknown,2023-07,TRIAL,true,false,false,false
88,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
126,Gindi 1,Unknown,2023-07,TRIAL,false,false,false,false
128,Gindi 1,Unknown,2023-07,ON_DEMAND_SUBSCRIPTION,false,true,false,true
129,Gindi 1,Unknown,2023-07,COLD_LEAD,false,false,false,false
134,Gindi 1,Unknown,2023-07,COLD_LEAD,false,false,false,false
136,Gindi 1,Unknown,2023-07,ON_DEMAND_SUBSCRIPTION,false,true,false,true
137,Gindi 1,Unknown,2023-07,COLD_LEAD,false,false,false,false
137,Gindi 1,Unknown,2023-07,COLD_LEAD,false,false,false,false
84,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
71,Gindi 1,Unknown,2023-07,CHURN,false,false,false,false
141,100 House,Hoboken Polygon,2023-08,FREEMIUM,false,false,false,false
237,100 House,Hoboken Polygon,2023-08,ON_DEMAND_SUBSCRIPTION,false,true,false,true
161,100 House,Hoboken Polygon,2023-08,FREEMIUM,false,false,false,false
195,100 House,Hoboken Polygon,2023-08,FREEMIUM,true,false,false,false
154,100 House,Hoboken Polygon,2023-08,FREEMIUM,false,false,false,false
142,100 House,Hoboken Polygon,2023-08,ON_DEMAND_SUBSCRIPTION,true,true,false,true
219,100 House,Hoboken Polygon,2023-08,FREEMIUM,false,false,false,false
140,100 House,Hoboken Polygon,2023-08,FREEMIUM,true,false,false,false
213,100 House,Hoboken Polygon,2023-08,CHURN,false,false,false,false
157,100 House,Hoboken Polygon,2023-08,FREEMIUM,false,false,false,false
160,100 House,Hoboken Polygon,2023-08,FREEMIUM,false,false,false,false
162,100 House,Hoboken Polygon,2023-08,FREEMIUM,false,false,false,false
190,Azrieli TLV,Unknown,2023-08,CHURN,false,false,false,false
248,Azrieli TLV,Unknown,2023-08,ON_DEMAND_SUBSCRIPTION,false,true,false,true
199,Gindi 1,Unknown,2023-08,TRIAL,false,false,false,false
235,Gindi 1,Unknown,2023-08,TRIAL,false,false,false,false
249,Gindi 1,Unknown,2023-08,COLD_LEAD,false,false,false,false
138,Gindi 1,Unknown,2023-08,ON_DEMAND_SUBSCRIPTION,false,true,false,true
212,Gindi 1,Unknown,2023-08,TRIAL,true,false,false,false
138,Gindi 1,Unknown,2023-08,ON_DEMAND_SUBSCRIPTION,false,true,false,true
214,Gindi 1,Unknown,2023-08,TRIAL,false,false,false,false
220,Gindi 1,Unknown,2023-08,COLD_LEAD,false,false,false,false
199,Gindi 1,Unknown,2023-08,TRIAL,false,false,false,false
200,Gindi 1,Unknown,2023-08,COLD_LEAD,false,false,false,false
62,Gindi 1,Unknown,2023-08,CHURN,false,false,false,false
