sub_month,active_subscribers,recurring,on_demand
2023-12,0,0,0
2024-01,0,0,0
2024-02,0,0,0
2024-03,0,0,0
2024-04,0,0,0
2024-05,0,0,0
2024-06,35,26,9
2024-07,85,69,16
2024-08,139,109,30
2024-09,200,149,51
2024-10,243,170,73
2024-11,272,189,83
2024-12,289,198,91
2025-01,327,225,102
2025-02,355,242,113
2025-03,371,249,122
2025-04,385,251,134
2025-05,407,267,140
2025-06,430,284,146
2025-07,467,308,159
2025-08,546,370,176
2025-09,698,516,182
2025-10,844,624,220
2025-11,855,629,226
2025-12,976,677,299
2026-01,1018,696,322
2026-02,1067,711,356
2026-03,1032,663,369
2026-04,1028,648,380
2026-05,1014,628,386
