cohort_month,leads,registered_leads,subscribers
2023-05,19,1,1
2023-06,29,2,1
2023-07,51,9,6
2023-08,119,17,12
2023-09,79,68,8
2023-10,53,41,11
2023-11,37,29,3
2023-12,84,79,23
2024-01,100,66,13
2024-02,62,48,8
2024-03,107,57,20
2024-04,180,80,27
2024-05,136,48,20
2024-06,148,40,16
2024-07,201,74,25
2024-08,257,98,22
2024-09,210,82,38
2024-10,206,78,33
2024-11,211,76,28
2024-12,134,43,15
2025-01,158,44,24
2025-02,454,38,17
2025-03,1318,142,70
2025-04,224,64,23
2025-05,544,74,17
2025-06,273,95,26
2025-07,390,122,53
2025-08,583,220,61
2025-09,815,367,103
2025-10,509,210,42
2025-11,474,185,61
2025-12,306,121,42
2026-01,457,220,83
2026-02,369,139,48
2026-03,223,75,28
2026-04,404,86,37
2026-05,191,63,19
