week,sub_incidents,onetime_incidents
2025-09-15,0,63
2025-09-22,0,79
2025-09-29,0,78
2025-10-06,0,65
2025-10-13,0,108
2025-10-20,0,38
2025-10-27,0,258
2025-11-03,0,191
2025-11-10,0,130
2025-11-17,0,112
2025-11-24,0,145
2025-12-01,0,166
2025-12-08,0,141
2025-12-15,0,130
2025-12-22,0,77
2025-12-29,0,162
2026-01-05,0,91
2026-01-12,0,72
2026-01-19,0,51
2026-01-26,0,102
2026-02-02,0,51
2026-02-09,0,79
2026-02-16,0,283
2026-02-23,0,139
2026-03-02,0,182
2026-03-09,0,93
2026-03-16,121,93
2026-03-23,196,157
2026-03-30,115,62
2026-04-06,144,51
2026-04-13,216,83
2026-04-20,170,155
2026-04-27,327,321
2026-05-04,275,52
2026-05-11,363,340
2026-05-18,242,209
2026-05-25,43,67
