ns_month,project,neighbourhood,apt_status,visit_type,count
2025-09,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,One-time,1
2025-09,20 Broad Street,Financial District Polygon,ON_DEMAND_SUBSCRIPTION,One-time,19
2025-09,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-09,655 Union,Boerum Hill Polygon,ON_DEMAND_SUBSCRIPTION,One-time,4
2025-09,66 Rockwell Place,Brooklyn Heights Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-09,Alta,Floating NY 1,CHURN,One-time,2
2025-09,Azrieli TLV,Unknown,CHURN,One-time,2
2025-09,Azrieli TLV,Unknown,TRIAL,One-time,1
2025-09,Brooklyn Crossing,Boerum Hill Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-09,Flamingo Point Center Tower,Miami Beach Polygon,LEAD,One-time,1
2025-09,Gindi 1,Unknown,CHURN,One-time,6
2025-09,Gindi 1,Unknown,TRIAL,One-time,2
2025-09,Gindi 2,Unknown,CHURN,One-time,5
2025-09,Gindi 2,Unknown,TRIAL,One-time,3
2025-09,Gindi 3,Unknown,CHURN,One-time,3
2025-09,Gindi 4,Unknown,WARM_LEAD,One-time,2
2025-09,HaHehad,Unknown,TRIAL,One-time,3
2025-09,John Street 116,Financial District Polygon,CHURN,One-time,1
2025-09,River Place,Hell's Kitchen Polygon,CHURN,One-time,1
2025-09,River Place,Hell's Kitchen Polygon,FREEMIUM,One-time,1
2025-09,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,30
2025-09,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,2
2025-09,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,One-time,1
2025-09,Stonehill,Chatham / West Orange Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-09,The Devan,Hoboken Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-09,The Kestrel,Floating NY 2,CHURN,One-time,1
2025-09,The Kestrel,Floating NY 2,LEAD,One-time,1
2025-10,100 House,Hoboken Polygon,CHURN,One-time,1
2025-10,100 House,Hoboken Polygon,LEAD,One-time,1
2025-10,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,One-time,6
2025-10,20 Broad Street,Financial District Polygon,RECURRING_SUBSCRIPTION,One-time,2
2025-10,20 Broad Street,Financial District Polygon,TRIAL,One-time,1
2025-10,250 E Houston,Floating NY 2,LEAD,One-time,1
2025-10,300 Somerset,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,28
2025-10,300 Somerset,Harrison Polygon,RECURRING_SUBSCRIPTION,One-time,3
2025-10,330 Angelo Cifelli,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,8
2025-10,330 Angelo Cifelli,Harrison Polygon,RECURRING_SUBSCRIPTION,One-time,10
2025-10,330W-56th,Hell's Kitchen Polygon,FREEMIUM,One-time,4
2025-10,345 Baldwin Avenue,Floating Jersey,ON_DEMAND_SUBSCRIPTION,One-time,1
2025-10,420 Kent Avenue,Williamsburg Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-10,655 Union,Boerum Hill Polygon,FREEMIUM,One-time,4
2025-10,66 Rockwell Place,Brooklyn Heights Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-10,829 Garfield,Floating Jersey,TRIAL,One-time,5
2025-10,Agnes,Floating Jersey,LEAD,One-time,2
2025-10,Agnes,Floating Jersey,TRIAL,One-time,4
2025-10,Alta,Floating NY 1,ON_DEMAND_SUBSCRIPTION,One-time,3
2025-10,Azrieli TLV,Unknown,CHURN,One-time,2
2025-10,Brooklyn Crossing,Boerum Hill Polygon,CHURN,One-time,2
2025-10,Brooklyn Crossing,Boerum Hill Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-10,Brooklyn Crossing,Boerum Hill Polygon,TRIAL,One-time,1
2025-10,Flamingo Point North Tower,Miami Beach Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-10,Gindi 1,Unknown,CHURN,One-time,2
2025-10,Gindi 2,Unknown,CHURN,One-time,3
2025-10,Gindi 2,Unknown,TRIAL,One-time,2
2025-10,Gindi 3,Unknown,CHURN,One-time,6
2025-10,Gindi 4,Unknown,CHURN,One-time,1
2025-10,Gindi 4,Unknown,LEAD,One-time,2
2025-10,Gindi 4,Unknown,WARM_LEAD,One-time,2
2025-10,Grove Central Residences,Floating Miami,CHURN,One-time,3
2025-10,HaHehad,Unknown,TRIAL,One-time,2
2025-10,John Street 116,Financial District Polygon,ON_DEMAND_SUBSCRIPTION,One-time,6
2025-10,One Ten,Hoboken Polygon,FREEMIUM,One-time,1
2025-10,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,One-time,1
2025-10,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,6
2025-10,River Place,Hell's Kitchen Polygon,TRIAL,One-time,6
2025-10,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,One-time,2
2025-10,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,One-time,2
2025-10,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,One-time,8
2025-10,Stonehill,Chatham / West Orange Polygon,CHURN,One-time,2
2025-10,Stonehill,Chatham / West Orange Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-10,The Addison,Brooklyn Heights Polygon,TRIAL,One-time,3
2025-10,The Boulevard,Floating Miami,RECURRING_SUBSCRIPTION,One-time,4
2025-10,The Buchanan,Floating NY 1,LEAD,One-time,1
2025-10,The Buchanan,Floating NY 1,TRIAL,One-time,1
2025-10,The Devan,Hoboken Polygon,RECURRING_SUBSCRIPTION,One-time,5
2025-10,The Eddy,Harrison Polygon,CHURN,One-time,2
2025-10,The Eddy,Harrison Polygon,FREEMIUM,One-time,10
2025-10,The Eddy,Harrison Polygon,ON_DEMAND_SUBSCRIPTION,One-time,1
2025-10,The Eddy,Harrison Polygon,RECURRING_SUBSCRIPTION,One-time,1
2025-10,The Enclave,Hoboken Polygon,TRIAL,One-time,2
2025-10,The Enclave,Hoboken Polygon,WARM_LEAD,One-time,2
2025-10,Union Channel ,Boerum Hill Polygon,TRIAL,One-time,3
