month,event_count,avg_ms,p50,p75,p90,p95,p99,under_2s,btw_2_5s,btw_5_10s,over_10s
2025-06,89,1498,1318,2057,2790,3754,4696,66,22,1,0
2025-07,6402,1739,1235,2116,3175,3934,10008,4669,1546,122,65
2025-08,8246,1427,1014,1876,2892,3584,6304,6443,1641,126,36
2025-09,9121,1612,1060,2000,3057,3989,8666,6826,2021,198,76
2025-10,8280,1866,1296,2201,3265,4309,11656,5924,2053,207,96
2025-11,8056,2005,1572,2401,3484,4534,9022,5314,2409,270,63
2025-12,9487,2384,1782,2732,3977,5322,11534,5586,3343,430,128
2026-01,8897,2435,1920,2737,3996,5318,11503,4781,3623,381,112
2026-02,8945,2631,2070,2898,3969,5151,13270,4170,4310,327,138
2026-03,10192,2659,2094,2934,4017,5498,13663,4684,4913,420,175
2026-04,10090,2658,1874,2907,4649,6333,16066,5410,3815,650,215
2026-05,5433,2678,1882,3113,5102,6932,12825,2913,1949,452,119
