date,avg_ms,p25,p50,p75,p95,count
2025-06-30,1498.0,645.0,1318.0,2057.0,3754.0,89
2025-07-01,1594.0,833.0,1412.0,1918.0,3354.0,336
2025-07-02,1430.0,788.0,1220.0,1900.0,3128.0,238
2025-07-03,1535.0,674.0,1109.0,1990.0,3402.0,234
2025-07-04,1478.0,709.0,1132.0,2066.0,3660.0,62
2025-07-05,1779.0,786.0,1720.0,2651.0,3386.0,100
2025-07-06,2017.0,1140.0,1940.0,2836.0,3547.0,124
2025-07-07,1648.0,656.0,1209.0,2411.0,3979.0,193
2025-07-08,1655.0,692.0,1304.0,2501.0,3848.0,231
2025-07-09,1963.0,646.0,1126.0,2241.0,4225.0,232
2025-07-10,1607.0,637.0,1102.0,1775.0,3663.0,189
2025-07-11,1482.0,607.0,1226.0,1938.0,4076.0,154
2025-07-12,2291.0,785.0,1246.0,2145.0,3908.0,68
2025-07-13,1721.0,922.0,1410.0,2490.0,3736.0,160
2025-07-14,1383.0,646.0,1199.0,1838.0,3178.0,208
2025-07-15,1366.0,580.0,1015.0,1920.0,3349.0,245
2025-07-16,1473.0,606.0,1021.0,1774.0,3549.0,356
2025-07-17,2796.0,620.0,1340.0,2214.0,11488.0,224
2025-07-18,2782.0,582.0,1042.0,2020.0,6828.0,158
2025-07-19,1926.0,803.0,1318.0,2192.0,3592.0,80
2025-07-20,2710.0,1182.0,2450.0,3308.0,5825.0,127
2025-07-21,1877.0,942.0,1560.0,2563.0,4103.0,217
2025-07-22,2255.0,1031.0,1733.0,2737.0,4773.0,187
2025-07-23,1571.0,472.0,909.0,1889.0,4448.0,313
2025-07-24,1923.0,565.0,1084.0,2550.0,5295.0,230
2025-07-25,1546.0,308.0,1043.0,1886.0,3885.0,185
2025-07-26,2546.0,721.0,1624.0,3076.0,7628.0,92
2025-07-27,2129.0,807.0,1414.0,2873.0,4919.0,145
2025-07-28,1403.0,860.0,1266.0,1711.0,3038.0,291
2025-07-29,1526.0,683.0,1292.0,1738.0,3530.0,305
2025-07-30,1727.0,870.0,1432.0,2062.0,3665.0,314
2025-07-31,1334.0,484.0,753.0,1449.0,3391.0,404
2025-08-01,1037.0,502.0,910.0,1362.0,2142.0,216
2025-08-02,1306.0,582.0,1049.0,1614.0,3661.0,95
2025-08-03,1913.0,938.0,1463.0,2486.0,3920.0,193
2025-08-04,1863.0,717.0,1451.0,2348.0,3790.0,224
2025-08-05,1414.0,498.0,1069.0,1901.0,3518.0,276
2025-08-06,1165.0,426.0,820.0,1637.0,3133.0,368
2025-08-07,1127.0,388.0,674.0,1482.0,3120.0,374
2025-08-08,1316.0,528.0,1014.0,1739.0,3399.0,244
2025-08-09,1204.0,424.0,1022.0,1787.0,3262.0,114
2025-08-10,1996.0,834.0,1630.0,2434.0,3339.0,162
2025-08-11,1397.0,445.0,1058.0,1984.0,3559.0,306
2025-08-12,1108.0,375.0,681.0,1699.0,3217.0,452
2025-08-13,1270.0,432.0,943.0,1772.0,3353.0,335
2025-08-14,1367.0,458.0,998.0,1767.0,3216.0,328
2025-08-15,1337.0,469.0,1094.0,1907.0,3394.0,274
2025-08-16,2386.0,746.0,1588.0,2984.0,5614.0,110
2025-08-17,1714.0,451.0,1095.0,1955.0,3669.0,186
2025-08-18,1473.0,555.0,1271.0,1875.0,3600.0,410
2025-08-19,1294.0,440.0,889.0,1744.0,3802.0,387
2025-08-20,1320.0,498.0,1026.0,1828.0,3361.0,263
2025-08-21,1375.0,471.0,846.0,1959.0,4104.0,405
2025-08-22,1461.0,541.0,926.0,1782.0,3405.0,397
2025-08-23,1502.0,428.0,1056.0,2298.0,3838.0,114
2025-08-24,1363.0,401.0,1034.0,2081.0,3392.0,193
2025-08-25,1541.0,616.0,1203.0,1956.0,4402.0,257
2025-08-26,1686.0,577.0,1241.0,2259.0,3847.0,232
