date,users,logged_in_users,login_rate_pct
2025-06-18,108,54,50.0
2025-06-19,497,337,67.8
2025-06-20,297,202,68.0
2025-06-21,149,99,66.4
2025-06-22,116,75,64.7
2025-06-23,183,109,59.6
2025-06-24,182,116,63.7
2025-06-25,233,139,59.7
2025-06-26,200,116,58.0
2025-06-27,141,92,65.2
2025-06-28,90,48,53.3
2025-06-29,168,87,51.8
2025-06-30,173,100,57.8
2025-07-01,242,146,60.3
2025-07-02,202,119,58.9
2025-07-03,161,103,64.0
2025-07-04,77,50,64.9
2025-07-05,78,57,73.1
2025-07-06,120,68,56.7
2025-07-07,183,113,61.7
2025-07-08,206,116,56.3
2025-07-09,200,119,59.5
2025-07-10,172,110,64.0
2025-07-11,108,73,67.6
2025-07-12,64,39,60.9
2025-07-13,133,76,57.1
2025-07-14,190,114,60.0
2025-07-15,189,125,66.1
2025-07-16,335,231,69.0
2025-07-17,256,142,55.5
2025-07-18,156,98,62.8
2025-07-19,85,59,69.4
2025-07-20,111,65,58.6
2025-07-21,161,99,61.5
2025-07-22,166,101,60.8
2025-07-23,262,176,67.2
2025-07-24,189,114,60.3
2025-07-25,143,93,65.0
2025-07-26,83,45,54.2
2025-07-27,109,62,56.9
2025-07-28,222,119,53.6
2025-07-29,259,142,54.8
2025-07-30,314,155,49.4
2025-07-31,429,264,61.5
2025-08-01,165,120,72.7
2025-08-02,87,61,70.1
2025-08-03,177,101,57.1
2025-08-04,206,120,58.3
2025-08-05,227,138,60.8
2025-08-06,307,222,72.3
2025-08-07,345,230,66.7
2025-08-08,198,132,66.7
2025-08-09,119,82,68.9
2025-08-10,152,94,61.8
2025-08-11,265,176,66.4
2025-08-12,396,283,71.5
2025-08-13,309,211,68.3
2025-08-14,341,219,64.2
2025-08-15,217,147,67.7
2025-08-16,92,57,62.0
2025-08-17,164,92,56.1
2025-08-18,378,250,66.1
2025-08-19,400,250,62.5
2025-08-20,262,157,59.9
2025-08-21,312,209,67.0
2025-08-22,276,200,72.5
2025-08-23,112,70,62.5
2025-08-24,194,115,59.3
2025-08-25,231,138,59.7
2025-08-26,230,121,52.6
2025-08-27,406,288,70.9
2025-08-28,301,184,61.1
2025-08-29,212,159,75.0
2025-08-30,100,60,60.0
2025-08-31,144,67,46.5
2025-09-01,187,102,54.5
2025-09-02,493,217,44.0
2025-09-03,347,213,61.4
2025-09-04,391,266,68.0
2025-09-05,336,241,71.7
2025-09-06,130,93,71.5
2025-09-07,197,111,56.3
2025-09-08,277,161,58.1
2025-09-09,267,147,55.1
2025-09-10,302,179,59.3
2025-09-11,257,137,53.3
2025-09-12,265,177,66.8
2025-09-13,134,96,71.6
2025-09-14,198,87,43.9
2025-09-15,279,118,42.3
2025-09-16,298,166,55.7
2025-09-17,406,279,68.7
2025-09-18,306,185,60.5
2025-09-19,293,172,58.7
2025-09-20,157,93,59.2
2025-09-21,193,90,46.6
2025-09-22,595,369,62.0
2025-09-23,432,326,75.5
2025-09-24,274,168,61.3
2025-09-25,387,256,66.1
2025-09-26,168,103,61.3
2025-09-27,157,99,63.1
2025-09-28,215,109,50.7
2025-09-29,248,142,57.3
2025-09-30,317,170,53.6
2025-10-01,225,132,58.7
2025-10-02,191,114,59.7
2025-10-03,214,124,57.9
2025-10-04,135,78,57.8
2025-10-05,266,107,40.2
2025-10-06,323,191,59.1
2025-10-07,230,128,55.7
2025-10-08,355,177,49.9
2025-10-09,379,190,50.1
2025-10-10,284,139,48.9
2025-10-11,144,77,53.5
2025-10-12,212,78,36.8
2025-10-13,252,117,46.4
2025-10-14,402,192,47.8
2025-10-15,311,148,47.6
2025-10-16,350,158,45.1
2025-10-17,272,144,52.9
2025-10-18,162,86,53.1
2025-10-19,236,106,44.9
2025-10-20,345,189,54.8
2025-10-21,352,193,54.8
2025-10-22,285,177,62.1
2025-10-23,291,197,67.7
2025-10-24,302,228,75.5
2025-10-25,162,109,67.3
2025-10-26,232,137,59.1
2025-10-27,310,188,60.6
2025-10-28,370,221,59.7
2025-10-29,393,234,59.5
2025-10-30,343,212,61.8
2025-10-31,163,114,69.9
2025-11-01,161,106,65.8
2025-11-02,237,143,60.3
2025-11-03,331,221,66.8
2025-11-04,428,262,61.2
2025-11-05,353,194,55.0
2025-11-06,310,184,59.4
2025-11-07,279,160,57.3
2025-11-08,141,84,59.6
2025-11-09,196,136,69.4
