month,view_bedrooms,view_bathrooms,view_contact,view_building,become_lead,choose_service,review_booking,register_success
2025-06,0,0,0,0,0,0,0,0
2025-07,0,0,0,0,0,0,0,0
2025-08,0,0,0,0,0,0,0,0
2025-09,0,0,0,0,0,0,0,0
2025-10,0,0,0,0,0,0,0,0
2025-11,15,20,18,16,0,0,0,4
2025-12,103,125,123,116,0,159,61,51
2026-01,447,504,504,488,73,509,169,82
2026-02,354,433,430,400,331,498,170,93
2026-03,237,318,318,301,225,472,345,124
2026-04,439,492,492,479,432,465,537,107
2026-05,201,228,229,210,196,328,404,76
