week,onetime_incidents,sub_incidents
2025-11-03,0,1
2025-11-17,0,1
2025-11-24,0,8
2025-12-01,0,12
2025-12-08,0,64
2025-12-15,0,99
2025-12-22,0,72
2025-12-29,0,39
2026-01-05,0,49
2026-01-12,0,126
2026-01-19,0,273
2026-01-26,0,186
2026-02-02,16,166
2026-02-09,35,117
2026-02-16,104,206
2026-02-23,89,233
2026-03-02,83,181
2026-03-09,74,150
2026-03-16,704,180
2026-03-23,809,205
2026-03-30,683,136
2026-04-06,660,143
2026-04-13,884,152
2026-04-20,1165,201
2026-04-27,1229,155
2026-05-04,1446,224
2026-05-11,1098,126
2026-05-18,1338,133
2026-05-25,753,68
