review_month,project,neighbourhood,apt_status,count,avg_rating,reviews
2023-05,Azrieli TLV,Unknown,CHURN,16,4.7,4
2023-05,Azrieli TLV,Unknown,TRIAL,6,5.0,1
2023-06,Azrieli TLV,Unknown,CHURN,37,4.89,3
2023-06,Azrieli TLV,Unknown,TRIAL,8,3.67,1
2023-07,100 House,Hoboken Polygon,CHURN,1,,0
2023-07,Azrieli TLV,Unknown,CHURN,41,4.86,3
2023-07,Gindi 1,Unknown,CHURN,31,4.69,7
2023-07,Gindi 1,Unknown,TRIAL,4,5.0,0
2023-08,100 House,Hoboken Polygon,CHURN,1,,0
2023-08,100 House,Hoboken Polygon,FREEMIUM,1,,0
2023-08,Azrieli TLV,Unknown,CHURN,45,4.7,0
2023-08,Gindi 1,Unknown,CHURN,75,4.7,9
2023-08,Gindi 1,Unknown,TRIAL,5,3.67,1
2023-08,Gindi 2,Unknown,CHURN,25,5.0,4
2023-08,Gindi 2,Unknown,TRIAL,8,4.0,0
2023-08,Gindi 4,Unknown,CHURN,6,4.0,1
2023-08,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,5.0,0
2023-09,829 Garfield,Floating Jersey,CHURN,2,5.0,0
2023-09,Azrieli TLV,Unknown,CHURN,56,5.0,2
2023-09,Azrieli TLV,Unknown,TRIAL,1,,0
2023-09,Gindi 1,Unknown,CHURN,62,4.88,6
2023-09,Gindi 1,Unknown,TRIAL,2,1.0,0
2023-09,Gindi 2,Unknown,CHURN,24,5.0,4
2023-09,Gindi 2,Unknown,TRIAL,7,,0
2023-09,Gindi 3,Unknown,CHURN,9,5.0,1
2023-09,Gindi 4,Unknown,CHURN,6,4.33,0
2023-09,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,,0
2023-09,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,4.0,1
2023-10,100 House,Hoboken Polygon,CHURN,1,5.0,1
2023-10,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,4,5.0,1
2023-10,829 Garfield,Floating Jersey,CHURN,11,5.0,2
2023-10,829 Garfield,Floating Jersey,TRIAL,1,,0
2023-10,Azrieli TLV,Unknown,CHURN,43,5.0,0
2023-10,Azrieli TLV,Unknown,TRIAL,1,,0
2023-10,Gindi 1,Unknown,CHURN,65,4.91,2
2023-10,Gindi 1,Unknown,TRIAL,3,5.0,0
2023-10,Gindi 2,Unknown,CHURN,24,4.43,4
2023-10,Gindi 2,Unknown,TRIAL,4,,0
2023-10,Gindi 3,Unknown,CHURN,42,5.0,1
2023-10,Gindi 3,Unknown,TRIAL,3,,0
2023-10,Gindi 4,Unknown,CHURN,8,5.0,0
2023-10,One Ten,Hoboken Polygon,CHURN,3,5.0,0
2023-10,One Ten,Hoboken Polygon,FREEMIUM,4,4.5,1
2023-10,The Enclave,Hoboken Polygon,CHURN,4,5.0,1
2023-10,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,,0
2023-11,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,5.0,0
2023-11,829 Garfield,Floating Jersey,CHURN,9,5.0,0
2023-11,829 Garfield,Floating Jersey,TRIAL,1,5.0,1
2023-11,Azrieli TLV,Unknown,CHURN,45,5.0,0
2023-11,Azrieli TLV,Unknown,TRIAL,3,,0
2023-11,Gindi 1,Unknown,CHURN,77,5.0,2
2023-11,Gindi 1,Unknown,TRIAL,2,5.0,1
2023-11,Gindi 2,Unknown,CHURN,14,5.0,0
2023-11,Gindi 2,Unknown,TRIAL,3,,0
2023-11,Gindi 3,Unknown,CHURN,58,5.0,0
2023-11,Gindi 3,Unknown,TRIAL,2,5.0,0
2023-11,Gindi 4,Unknown,CHURN,10,5.0,0
2023-11,One Ten,Hoboken Polygon,CHURN,2,5.0,0
2023-11,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,4.5,1
2023-11,The Enclave,Hoboken Polygon,CHURN,4,5.0,0
2023-11,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,5.0,1
2023-12,100 House,Hoboken Polygon,CHURN,1,5.0,0
2023-12,829 Garfield,Floating Jersey,CHURN,9,5.0,0
2023-12,Azrieli TLV,Unknown,CHURN,56,4.83,0
2023-12,Gindi 1,Unknown,CHURN,82,4.83,7
2023-12,Gindi 1,Unknown,TRIAL,4,,0
2023-12,Gindi 2,Unknown,CHURN,22,3.67,0
2023-12,Gindi 3,Unknown,CHURN,76,4.78,4
2023-12,Gindi 3,Unknown,TRIAL,1,,0
2023-12,Gindi 4,Unknown,CHURN,1,5.0,1
2023-12,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,5.0,0
2023-12,Silver Towers,Hell's Kitchen Polygon,CHURN,5,5.0,2
2023-12,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,1,,0
2023-12,Silver Towers,Hell's Kitchen Polygon,FROZEN,1,,0
2023-12,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,5,5.0,1
2023-12,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,7,5.0,0
2023-12,Silver Towers,Hell's Kitchen Polygon,TRIAL,5,4.67,1
2023-12,The Enclave,Hoboken Polygon,CHURN,3,5.0,0
2024-01,100 House,Hoboken Polygon,CHURN,6,5.0,0
2024-01,829 Garfield,Floating Jersey,CHURN,8,5.0,0
2024-01,829 Garfield,Floating Jersey,TRIAL,1,5.0,1
2024-01,Azrieli TLV,Unknown,CHURN,60,5.0,0
2024-01,Azrieli TLV,Unknown,TRIAL,2,,0
2024-01,Gindi 1,Unknown,CHURN,99,4.67,3
2024-01,Gindi 1,Unknown,TRIAL,5,5.0,1
2024-01,Gindi 2,Unknown,CHURN,28,4.89,5
2024-01,Gindi 2,Unknown,TRIAL,2,5.0,0
2024-01,Gindi 3,Unknown,CHURN,93,5.0,4
2024-01,Gindi 3,Unknown,TRIAL,9,5.0,1
2024-01,Gindi 4,Unknown,CHURN,4,5.0,0
2024-01,One Ten,Hoboken Polygon,CHURN,1,,0
2024-01,One Ten,Hoboken Polygon,FREEMIUM,1,5.0,1
2024-01,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,,0
2024-01,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,5.0,0
2024-01,River Place,Hell's Kitchen Polygon,CHURN,5,5.0,1
2024-01,River Place,Hell's Kitchen Polygon,FREEMIUM,1,5.0,0
2024-01,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,2,5.0,1
2024-01,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,6,5.0,2
2024-01,River Place,Hell's Kitchen Polygon,TRIAL,4,3.0,1
2024-01,River Place,Hell's Kitchen Polygon,WARM_LEAD,1,5.0,0
2024-01,Silver Towers,Hell's Kitchen Polygon,CHURN,25,4.67,3
2024-01,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,1,,0
2024-01,Silver Towers,Hell's Kitchen Polygon,FROZEN,1,5.0,0
2024-01,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,14,5.0,0
2024-01,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,29,5.0,2
2024-01,Silver Towers,Hell's Kitchen Polygon,TRIAL,5,5.0,0
2024-01,The Enclave,Hoboken Polygon,CHURN,8,5.0,1
2024-01,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,,0
2024-02,100 House,Hoboken Polygon,CHURN,10,5.0,0
2024-02,829 Garfield,Floating Jersey,CHURN,3,5.0,0
2024-02,Azrieli TLV,Unknown,CHURN,62,5.0,1
2024-02,Gindi 1,Unknown,CHURN,70,4.71,2
2024-02,Gindi 1,Unknown,TRIAL,2,,0
2024-02,Gindi 2,Unknown,CHURN,22,5.0,4
2024-02,Gindi 3,Unknown,CHURN,77,4.67,3
2024-02,Gindi 3,Unknown,TRIAL,2,4.0,1
2024-02,Gindi 4,Unknown,CHURN,10,5.0,1
2024-02,One Ten,Hoboken Polygon,CHURN,3,5.0,0
2024-02,One Ten,Hoboken Polygon,FREEMIUM,2,5.0,0
2024-02,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,,0
2024-02,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,4,5.0,0
2024-02,River Place,Hell's Kitchen Polygon,CHURN,13,4.89,7
2024-02,River Place,Hell's Kitchen Polygon,FREEMIUM,6,3.67,3
2024-02,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,2,,0
2024-02,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,10,5.0,1
2024-02,River Place,Hell's Kitchen Polygon,TRIAL,4,5.0,1
2024-02,Silver Towers,Hell's Kitchen Polygon,CHURN,22,4.33,3
2024-02,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,4,3.5,1
2024-02,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,10,5.0,1
2024-02,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,20,5.0,2
2024-02,Silver Towers,Hell's Kitchen Polygon,TRIAL,3,5.0,0
2024-02,The Enclave,Hoboken Polygon,CHURN,8,5.0,0
2024-02,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,,0
2024-03,100 House,Hoboken Polygon,CHURN,7,5.0,0
2024-03,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2,5.0,0
2024-03,829 Garfield,Floating Jersey,CHURN,2,,0
2024-03,Azrieli TLV,Unknown,CHURN,59,5.0,0
2024-03,Azrieli TLV,Unknown,TRIAL,2,,0
2024-03,Gindi 1,Unknown,CHURN,77,5.0,1
2024-03,Gindi 1,Unknown,TRIAL,1,,0
2024-03,Gindi 2,Unknown,CHURN,30,4.13,2
2024-03,Gindi 2,Unknown,COLD_LEAD,1,,0
2024-03,Gindi 2,Unknown,TRIAL,1,,0
2024-03,Gindi 3,Unknown,CHURN,107,5.0,2
2024-03,Gindi 3,Unknown,TRIAL,2,5.0,0
2024-03,Gindi 4,Unknown,CHURN,5,5.0,1
2024-03,John Street 116,Financial District Polygon,CHURN,2,5.0,0
2024-03,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,2,,0
2024-03,John Street 116,Financial District Polygon,TRIAL,7,5.0,1
2024-03,One Ten,Hoboken Polygon,CHURN,4,5.0,0
2024-03,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,5.0,0
2024-03,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,,0
2024-03,River Place,Hell's Kitchen Polygon,CHURN,14,5.0,6
2024-03,River Place,Hell's Kitchen Polygon,FREEMIUM,1,,0
2024-03,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,9,5.0,1
2024-03,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,14,5.0,3
2024-03,River Place,Hell's Kitchen Polygon,TRIAL,2,,0
2024-03,Silver Towers,Hell's Kitchen Polygon,CHURN,25,4.83,5
2024-03,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,2,,0
2024-03,Silver Towers,Hell's Kitchen Polygon,FROZEN,2,5.0,1
2024-03,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,15,5.0,2
2024-03,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,25,4.25,2
2024-03,Silver Towers,Hell's Kitchen Polygon,TRIAL,5,4.0,0
2024-03,The Enclave,Hoboken Polygon,CHURN,4,5.0,0
2024-03,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,5.0,1
2024-04,100 House,Hoboken Polygon,CHURN,8,5.0,0
2024-04,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,4,5.0,0
2024-04,330W-56th,Hell's Kitchen Polygon,CHURN,2,5.0,0
2024-04,330W-56th,Hell's Kitchen Polygon,FREEMIUM,4,5.0,0
2024-04,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,2,5.0,1
2024-04,330W-56th,Hell's Kitchen Polygon,WARM_LEAD,1,,0
2024-04,829 Garfield,Floating Jersey,CHURN,3,,0
2024-04,829 Garfield,Floating Jersey,TRIAL,1,,0
2024-04,Azrieli TLV,Unknown,CHURN,56,,0
2024-04,Azrieli TLV,Unknown,TRIAL,1,5.0,0
2024-04,Gindi 1,Unknown,CHURN,69,4.75,2
2024-04,Gindi 2,Unknown,CHURN,29,5.0,1
2024-04,Gindi 3,Unknown,CHURN,106,5.0,0
2024-04,Gindi 3,Unknown,TRIAL,2,5.0,0
2024-04,Gindi 4,Unknown,CHURN,4,5.0,0
2024-04,John Street 116,Financial District Polygon,CHURN,11,5.0,2
2024-04,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,3,4.0,0
2024-04,John Street 116,Financial District Polygon,TRIAL,4,5.0,1
2024-04,One Ten,Hoboken Polygon,CHURN,4,5.0,0
2024-04,One Ten,Hoboken Polygon,FREEMIUM,2,5.0,0
2024-04,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2,5.0,0
2024-04,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,5.0,1
2024-04,River Place,Hell's Kitchen Polygon,CHURN,23,5.0,2
2024-04,River Place,Hell's Kitchen Polygon,FREEMIUM,2,,0
2024-04,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,13,5.0,2
2024-04,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,14,5.0,3
2024-04,River Place,Hell's Kitchen Polygon,TRIAL,6,,0
2024-04,Silver Towers,Hell's Kitchen Polygon,CHURN,19,5.0,0
2024-04,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,2,5.0,0
2024-04,Silver Towers,Hell's Kitchen Polygon,FROZEN,1,5.0,0
2024-04,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,13,5.0,1
2024-04,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,35,5.0,1
2024-04,Silver Towers,Hell's Kitchen Polygon,TRIAL,5,4.33,0
2024-04,The Enclave,Hoboken Polygon,CHURN,5,,0
2024-04,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,2,5.0,1
2024-05,100 House,Hoboken Polygon,CHURN,9,5.0,1
2024-05,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,6,5.0,0
2024-05,1 Boerum PL,Floating NY 2,CHURN,8,,0
2024-05,1 Boerum PL,Floating NY 2,ON_DEMAND_SUBSCRIPTION,2,5.0,1
2024-05,1 Boerum PL,Floating NY 2,RECURRING_SUBSCRIPTION,3,,0
2024-05,330W-56th,Hell's Kitchen Polygon,CHURN,4,,0
2024-05,330W-56th,Hell's Kitchen Polygon,FREEMIUM,1,5.0,1
2024-05,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,3,5.0,1
2024-05,829 Garfield,Floating Jersey,CHURN,3,,0
2024-05,Azrieli TLV,Unknown,CHURN,59,3.0,1
2024-05,Gindi 1,Unknown,CHURN,50,5.0,1
2024-05,Gindi 2,Unknown,CHURN,26,5.0,0
2024-05,Gindi 3,Unknown,CHURN,80,5.0,1
2024-05,Gindi 3,Unknown,TRIAL,1,5.0,0
2024-05,Gindi 4,Unknown,CHURN,6,5.0,0
2024-05,John Street 116,Financial District Polygon,CHURN,15,5.0,1
2024-05,John Street 116,Financial District Polygon,FREEMIUM,1,,0
2024-05,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,5,5.0,0
2024-05,John Street 116,Financial District Polygon,TRIAL,3,5.0,0
2024-05,One Ten,Hoboken Polygon,CHURN,3,5.0,0
2024-05,One Ten,Hoboken Polygon,FREEMIUM,1,,0
2024-05,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,5.0,0
2024-05,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,4,,0
2024-05,River Place,Hell's Kitchen Polygon,CHURN,38,4.91,6
2024-05,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,22,5.0,0
2024-05,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,19,5.0,1
2024-05,River Place,Hell's Kitchen Polygon,TRIAL,3,5.0,0
2024-05,River Place,Hell's Kitchen Polygon,WARM_LEAD,1,,0
2024-05,Silver Towers,Hell's Kitchen Polygon,CHURN,37,5.0,2
2024-05,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,2,,0
2024-05,Silver Towers,Hell's Kitchen Polygon,FROZEN,1,5.0,0
2024-05,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,18,4.86,2
2024-05,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,47,5.0,0
2024-05,Silver Towers,Hell's Kitchen Polygon,TRIAL,11,5.0,0
2024-05,The Enclave,Hoboken Polygon,CHURN,8,5.0,0
2024-05,The Enclave,Hoboken Polygon,FREEMIUM,3,5.0,0
2024-05,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,3,3.0,1
2024-06,100 House,Hoboken Polygon,CHURN,10,5.0,1
2024-06,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,5,5.0,1
2024-06,1 Boerum PL,Floating NY 2,CHURN,10,,0
2024-06,1 Boerum PL,Floating NY 2,ON_DEMAND_SUBSCRIPTION,3,5.0,0
2024-06,1 Boerum PL,Floating NY 2,RECURRING_SUBSCRIPTION,6,5.0,1
2024-06,1 Boerum PL,Floating NY 2,TRIAL,2,5.0,0
2024-06,330W-56th,Hell's Kitchen Polygon,CHURN,3,,0
2024-06,330W-56th,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,3,5.0,0
2024-06,829 Garfield,Floating Jersey,CHURN,1,,0
2024-06,829 Garfield,Floating Jersey,TRIAL,1,,0
2024-06,Azrieli TLV,Unknown,CHURN,61,5.0,0
2024-06,Azrieli TLV,Unknown,TRIAL,1,,0
2024-06,Gindi 1,Unknown,CHURN,25,5.0,1
2024-06,Gindi 1,Unknown,TRIAL,5,,0
2024-06,Gindi 2,Unknown,CHURN,20,5.0,1
2024-06,Gindi 3,Unknown,CHURN,51,4.83,0
2024-06,Gindi 3,Unknown,TRIAL,1,,0
2024-06,Gindi 4,Unknown,CHURN,4,5.0,0
2024-06,John Street 116,Financial District Polygon,CHURN,13,5.0,1
2024-06,John Street 116,Financial District Polygon,RECURRING_SUBSCRIPTION,6,4.0,0
2024-06,John Street 116,Financial District Polygon,TRIAL,2,,0
2024-06,One Ten,Hoboken Polygon,CHURN,2,5.0,0
2024-06,One Ten,Hoboken Polygon,FREEMIUM,1,,0
2024-06,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,,0
2024-06,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,4,,0
2024-06,One Ten,Hoboken Polygon,WARM_LEAD,2,5.0,0
2024-06,River Place,Hell's Kitchen Polygon,CHURN,49,5.0,4
2024-06,River Place,Hell's Kitchen Polygon,FREEMIUM,1,,0
2024-06,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,15,5.0,0
2024-06,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,12,5.0,0
2024-06,River Place,Hell's Kitchen Polygon,TRIAL,2,,0
2024-06,River Place,Hell's Kitchen Polygon,WARM_LEAD,1,,0
2024-06,Silver Towers,Hell's Kitchen Polygon,CHURN,35,4.8,2
2024-06,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,1,,0
2024-06,Silver Towers,Hell's Kitchen Polygon,FROZEN,2,5.0,0
2024-06,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,19,3.5,1
2024-06,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,40,5.0,0
2024-06,Silver Towers,Hell's Kitchen Polygon,TRIAL,7,3.0,1
