month,review_count,avg_visit_rating,avg_app_rating
2023-05,23,4.73,4.65
2023-06,44,4.58,4.8
2023-07,81,4.77,4.64
2023-08,174,4.64,4.68
2023-09,179,4.78,4.4
2023-10,219,4.86,4.31
2023-11,240,4.98,4.37
2023-12,287,4.82,4.35
2024-01,425,4.88,4.42
2024-02,375,4.8,4.4
2024-03,430,4.76,4.3
2024-04,457,4.89,4.22
2024-05,507,4.92,4.19
2024-06,457,4.86,4.3
2024-07,543,4.85,4.24
2024-08,540,4.82,4.34
2024-09,541,4.66,4.32
2024-10,579,4.82,4.29
2024-11,650,4.83,4.21
2024-12,729,4.86,4.53
2025-01,824,4.85,4.58
2025-02,789,4.86,4.7
2025-03,777,4.86,4.76
2025-04,1049,4.77,4.83
2025-05,786,4.87,4.83
2025-06,757,4.94,4.88
2025-07,889,4.92,4.84
2025-08,923,4.9,4.93
2025-09,1026,4.88,4.93
2025-10,1213,4.9,4.95
2025-11,1192,4.9,4.94
2025-12,1457,4.93,4.95
2026-01,1406,4.89,4.93
2026-02,1422,4.93,4.9
2026-03,1574,4.9,4.91
2026-04,1545,4.88,4.93
2026-05,1038,4.91,4.97
