visit_month,project,neighbourhood,apt_status,avg_tasks_per_visit,avg_visit_price,chore_count,total_amount
2023-05,Azrieli TLV,Unknown,CHURN,4.93,73.88,74,1963.26
2023-05,Azrieli TLV,Unknown,TRIAL,2.2,55.62,11,383.76
2023-06,Azrieli TLV,Unknown,CHURN,4.32,69.05,160,4683.12
2023-06,Azrieli TLV,Unknown,TRIAL,4.82,69.26,53,1650.87
2023-07,100 House,Hoboken Polygon,CHURN,5.33,35.16,16,612.3
2023-07,Azrieli TLV,Unknown,CHURN,5.08,71.94,259,7465.64
2023-07,Azrieli TLV,Unknown,TRIAL,7.0,60.09,28,809.64
2023-07,Gindi 1,Unknown,CHURN,4.4,45.58,233,6316.44
2023-07,Gindi 1,Unknown,COLD_LEAD,10.0,0.0,10,332.41
2023-07,Gindi 1,Unknown,TRIAL,3.43,61.82,24,674.31
2023-08,100 House,Hoboken Polygon,CHURN,4.5,71.47,9,318.5
2023-08,100 House,Hoboken Polygon,FREEMIUM,4.0,80.0,8,241.15
2023-08,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,4.0,108.8,4,124.15
2023-08,Azrieli TLV,Unknown,CHURN,4.5,58.33,306,8881.86
2023-08,Gindi 1,Unknown,CHURN,4.47,47.22,496,14552.59
2023-08,Gindi 1,Unknown,TRIAL,3.25,35.03,39,1071.07
2023-08,Gindi 2,Unknown,CHURN,4.84,44.82,218,6229.6
2023-08,Gindi 2,Unknown,COLD_LEAD,2.2,0.0,11,372.45
2023-08,Gindi 2,Unknown,TRIAL,4.56,62.01,41,1097.2
2023-08,Gindi 3,Unknown,COLD_LEAD,7.0,0.0,7,202.41
2023-08,Gindi 4,Unknown,CHURN,2.2,15.74,22,691.6
2023-08,One Ten,Hoboken Polygon,FREEMIUM,5.0,48.0,5,165.1
2023-08,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.0,100.0,5,194.35
2023-09,100 House,Hoboken Polygon,CHURN,4.67,125.94,14,529.1
2023-09,100 House,Hoboken Polygon,FREEMIUM,6.5,86.77,13,413.01
2023-09,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,3.0,62.02,9,214.5
2023-09,829 Garfield,Floating Jersey,CHURN,4.75,100.21,19,677.95
2023-09,Azrieli TLV,Unknown,CHURN,4.72,63.73,307,8974.16
2023-09,Azrieli TLV,Unknown,TRIAL,2.0,0.0,2,64.35
2023-09,Gindi 1,Unknown,CHURN,5.25,45.12,488,13818.22
2023-09,Gindi 1,Unknown,COLD_LEAD,4.5,0.0,9,299.65
2023-09,Gindi 1,Unknown,TRIAL,4.5,104.2,9,249.21
2023-09,Gindi 2,Unknown,CHURN,6.34,64.62,317,8282.95
2023-09,Gindi 2,Unknown,COLD_LEAD,3.0,0.0,3,83.2
2023-09,Gindi 2,Unknown,TRIAL,4.73,44.82,52,1485.9
2023-09,Gindi 3,Unknown,CHURN,5.15,59.73,134,3488.03
2023-09,Gindi 3,Unknown,TRIAL,1.5,47.4,3,64.35
2023-09,Gindi 4,Unknown,CHURN,3.22,40.35,29,894.4
2023-09,One Ten,Hoboken Polygon,CHURN,5.0,58.73,15,491.66
2023-09,One Ten,Hoboken Polygon,FREEMIUM,4.33,49.5,26,808.86
2023-09,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,4.0,51.0,4,182.65
2023-09,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.0,90.42,15,583.05
2023-09,The Enclave,Hoboken Polygon,CHURN,5.0,100.0,5,194.35
2023-09,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,4.0,50.0,4,135.85
2023-10,100 House,Hoboken Polygon,CHURN,5.67,99.72,17,545.61
2023-10,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2.8,48.66,14,304.85
2023-10,829 Garfield,Floating Jersey,CHURN,4.76,108.06,100,3316.95
2023-10,829 Garfield,Floating Jersey,TRIAL,5.0,95.8,10,320.71
2023-10,Azrieli TLV,Unknown,CHURN,5.06,46.84,329,9525.1
2023-10,Azrieli TLV,Unknown,TRIAL,8.0,87.4,8,272.61
2023-10,Gindi 1,Unknown,CHURN,4.96,44.16,585,17561.57
2023-10,Gindi 1,Unknown,TRIAL,4.0,91.93,8,272.61
2023-10,Gindi 2,Unknown,CHURN,6.07,50.97,334,8794.5
2023-10,Gindi 2,Unknown,TRIAL,5.38,12.24,86,2511.21
2023-10,Gindi 3,Unknown,CHURN,5.17,61.44,372,10171.2
2023-10,Gindi 3,Unknown,TRIAL,3.0,59.09,15,393.12
2023-10,Gindi 4,Unknown,CHURN,2.09,23.03,23,685.1
2023-10,One Ten,Hoboken Polygon,CHURN,5.11,58.04,46,1400.49
2023-10,One Ten,Hoboken Polygon,FREEMIUM,4.76,67.07,81,2621.71
2023-10,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,6.0,72.67,18,694.2
2023-10,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.0,90.42,15,583.05
2023-10,The Enclave,Hoboken Polygon,CHURN,5.14,94.54,36,1208.22
2023-10,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,4.0,50.0,4,135.85
2023-11,100 House,Hoboken Polygon,CHURN,6.25,115.17,25,772.72
2023-11,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2.8,48.66,14,304.85
2023-11,829 Garfield,Floating Jersey,CHURN,5.18,102.94,114,3527.94
2023-11,829 Garfield,Floating Jersey,TRIAL,5.0,95.8,10,320.71
2023-11,Azrieli TLV,Unknown,CHURN,4.9,47.04,358,10775.57
2023-11,Azrieli TLV,Unknown,TRIAL,6.33,50.64,19,675.22
2023-11,Gindi 1,Unknown,CHURN,5.11,67.07,634,19194.37
2023-11,Gindi 1,Unknown,TRIAL,4.67,66.23,14,543.4
2023-11,Gindi 2,Unknown,CHURN,6.04,45.15,278,7732.92
2023-11,Gindi 2,Unknown,TRIAL,6.1,48.52,61,1986.14
2023-11,Gindi 3,Unknown,CHURN,5.73,70.66,579,14820.13
2023-11,Gindi 3,Unknown,TRIAL,8.0,66.99,16,545.22
2023-11,Gindi 4,Unknown,CHURN,2.71,19.43,46,1395.81
2023-11,One Ten,Hoboken Polygon,CHURN,4.55,54.12,50,1543.49
2023-11,One Ten,Hoboken Polygon,FREEMIUM,3.57,41.69,25,850.2
2023-11,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,10.0,90.0,10,328.9
2023-11,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.6,108.58,28,1004.51
2023-11,The Enclave,Hoboken Polygon,CHURN,6.09,96.18,67,2198.69
2023-11,The Enclave,Hoboken Polygon,FREEMIUM,8.0,148.0,8,227.11
2023-11,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,4.0,50.0,12,407.55
2023-12,100 House,Hoboken Polygon,CHURN,6.6,103.98,33,999.83
2023-12,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2.67,42.58,16,329.55
2023-12,829 Garfield,Floating Jersey,CHURN,5.0,78.75,110,3394.69
2023-12,829 Garfield,Floating Jersey,TRIAL,4.0,32.88,16,613.21
2023-12,Azrieli TLV,Unknown,CHURN,4.4,54.2,339,10505.43
2023-12,Gindi 1,Unknown,CHURN,5.25,61.4,813,24883.69
2023-12,Gindi 1,Unknown,TRIAL,1.33,99.38,8,364.0
2023-12,Gindi 2,Unknown,CHURN,5.84,58.07,257,7440.55
2023-12,Gindi 3,Unknown,CHURN,5.45,81.24,741,19084.91
2023-12,Gindi 3,Unknown,TRIAL,4.5,73.7,27,799.63
2023-12,Gindi 4,Unknown,CHURN,3.83,32.34,46,1370.85
2023-12,One Ten,Hoboken Polygon,CHURN,5.09,47.36,56,1699.1
2023-12,One Ten,Hoboken Polygon,FREEMIUM,5.0,51.97,35,1133.47
2023-12,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,10.0,90.0,20,657.8
2023-12,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.6,103.45,28,1004.51
2023-12,Silver Towers,Hell's Kitchen Polygon,CHURN,3.95,37.92,75,2638.74
2023-12,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,8.0,63.25,32,908.44
2023-12,Silver Towers,Hell's Kitchen Polygon,FROZEN,8.0,92.0,8,227.11
2023-12,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,5.08,35.29,66,2069.47
2023-12,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,4.05,66.0,170,5318.17
2023-12,Silver Towers,Hell's Kitchen Polygon,TRIAL,3.43,71.39,24,681.33
2023-12,The Enclave,Hoboken Polygon,CHURN,6.33,86.74,57,1833.39
2023-12,The Enclave,Hoboken Polygon,FREEMIUM,8.0,148.0,8,227.11
2023-12,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,4.0,50.0,8,271.7
2024-01,100 House,Hoboken Polygon,CHURN,7.5,42.66,180,4206.67
2024-01,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2.67,5.81,16,329.55
2024-01,829 Garfield,Floating Jersey,CHURN,4.84,52.42,121,3783.39
2024-01,829 Garfield,Floating Jersey,TRIAL,3.67,8.67,11,379.21
2024-01,Azrieli TLV,Unknown,CHURN,4.61,55.92,387,11983.92
2024-01,Azrieli TLV,Unknown,TRIAL,0.5,43.29,1,13.0
2024-01,Gindi 1,Unknown,CHURN,4.91,64.56,840,25735.32
2024-01,Gindi 1,Unknown,COLD_LEAD,7.0,28.63,14,404.82
2024-01,Gindi 1,Unknown,TRIAL,3.82,27.66,42,1401.27
2024-01,Gindi 2,Unknown,CHURN,5.7,54.63,285,8159.58
2024-01,Gindi 2,Unknown,TRIAL,6.0,87.63,6,194.35
2024-01,Gindi 3,Unknown,CHURN,5.52,86.11,817,22154.73
2024-01,Gindi 3,Unknown,TRIAL,3.29,68.61,102,2665.0
2024-01,Gindi 4,Unknown,CHURN,4.15,45.59,54,1661.01
2024-01,One Ten,Hoboken Polygon,CHURN,4.0,17.54,48,1585.48
2024-01,One Ten,Hoboken Polygon,FREEMIUM,6.14,41.93,43,1340.43
2024-01,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,8.0,25.5,16,539.5
2024-01,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,6.0,93.56,18,615.81
2024-01,River Place,Hell's Kitchen Polygon,CHURN,6.33,52.33,38,1077.05
2024-01,River Place,Hell's Kitchen Polygon,FREEMIUM,2.0,0.0,4,187.2
2024-01,River Place,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,2.5,31.8,5,187.2
2024-01,River Place,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,7.8,15.56,234,5240.3
2024-01,River Place,Hell's Kitchen Polygon,TRIAL,2.0,41.75,8,368.55
2024-01,River Place,Hell's Kitchen Polygon,WARM_LEAD,1.0,47.0,2,117.0
2024-01,Silver Towers,Hell's Kitchen Polygon,CHURN,3.93,54.72,220,7427.81
2024-01,Silver Towers,Hell's Kitchen Polygon,FREEMIUM,7.56,26.41,68,1928.03
2024-01,Silver Towers,Hell's Kitchen Polygon,FROZEN,8.0,92.0,8,227.11
2024-01,Silver Towers,Hell's Kitchen Polygon,ON_DEMAND_SUBSCRIPTION,4.85,47.72,126,4032.47
2024-01,Silver Towers,Hell's Kitchen Polygon,RECURRING_SUBSCRIPTION,5.83,96.9,268,7294.95
2024-01,Silver Towers,Hell's Kitchen Polygon,TRIAL,3.61,40.24,65,2317.25
2024-01,The Enclave,Hoboken Polygon,CHURN,6.0,67.67,66,2119.0
2024-01,The Enclave,Hoboken Polygon,FREEMIUM,8.0,74.0,16,454.22
2024-01,The Enclave,Hoboken Polygon,RECURRING_SUBSCRIPTION,4.0,50.0,12,407.55
2024-02,100 House,Hoboken Polygon,CHURN,7.46,70.72,97,2866.89
2024-02,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,3.0,0.0,3,65.65
2024-02,829 Garfield,Floating Jersey,CHURN,5.24,37.56,89,2941.25
2024-02,829 Garfield,Floating Jersey,TRIAL,1.5,0.0,3,146.25
2024-02,Azrieli TLV,Unknown,CHURN,5.28,61.33,396,12128.87
2024-02,Azrieli TLV,Unknown,TRIAL,0.0,0.0,0,
2024-02,Gindi 1,Unknown,CHURN,5.06,69.43,637,19960.46
2024-02,Gindi 1,Unknown,TRIAL,3.75,18.56,15,565.5
2024-02,Gindi 2,Unknown,CHURN,5.67,60.85,187,5319.34
2024-02,Gindi 3,Unknown,CHURN,5.31,75.55,812,22219.47
2024-02,Gindi 3,Unknown,COLD_LEAD,5.0,0.0,5,251.55
2024-02,Gindi 3,Unknown,TRIAL,4.5,1.6,90,2144.74
2024-02,Gindi 4,Unknown,CHURN,4.17,43.7,50,1453.01
2024-02,One Ten,Hoboken Polygon,CHURN,3.38,18.78,27,980.2
2024-02,One Ten,Hoboken Polygon,FREEMIUM,7.6,33.89,38,1187.03
2024-02,One Ten,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,8.0,25.5,16,539.5
2024-02,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,5.5,83.04,33,1198.86
2024-02,River Place,Hell's Kitchen Polygon,CHURN,7.0,53.76,133,3300.57
2024-02,River Place,Hell's Kitchen Polygon,FREEMIUM,2.88,38.04,69,2155.53
