visit_month,avg_tasks_per_visit,avg_visit_price
2023-05,4.25,71.55
2023-06,4.45,68.53
2023-07,4.58,67.79
2023-08,4.11,68.02
2023-09,5.0,70.49
2023-10,4.85,76.68
2023-11,5.23,82.85
2023-12,5.05,87.09
2024-01,5.01,91.13
2024-02,5.28,88.96
2024-03,4.95,85.75
2024-04,5.24,86.46
2024-05,5.45,86.47
2024-06,5.4,87.52
2024-07,5.51,88.23
2024-08,5.38,88.13
2024-09,5.13,88.89
2024-10,5.15,89.46
2024-11,5.18,88.75
2024-12,5.05,87.41
2025-01,5.16,89.42
2025-02,5.19,95.52
2025-03,5.26,93.8
2025-04,4.59,88.27
2025-05,5.22,94.99
2025-06,5.54,99.48
2025-07,5.53,98.02
2025-08,5.55,98.2
2025-09,5.71,102.09
2025-10,5.91,106.43
2025-11,5.79,104.21
2025-12,5.73,106.43
2026-01,5.65,106.56
2026-02,5.45,108.61
2026-03,5.34,110.97
2026-04,5.31,112.16
2026-05,4.83,111.23
