visit_month,project,neighbourhood,apt_status,finished_completed,finished,completed,pending,cancelled,net_revenue,avg_duration_mins
2023-05,Azrieli TLV,Unknown,CHURN,15,7,8,0,0,979.73,
2023-05,Azrieli TLV,Unknown,TRIAL,5,4,1,0,0,87.4,
2023-06,Azrieli TLV,Unknown,CHURN,34,24,10,0,1,1763.37,
2023-06,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,0,0,0,0,1,,
2023-06,Azrieli TLV,Unknown,RECURRING_SUBSCRIPTION,1,0,1,0,0,0.0,
2023-06,Azrieli TLV,Unknown,TRIAL,9,6,3,0,2,349.59,
2023-07,100 House,Hoboken Polygon,CHURN,1,1,0,0,2,75.0,
2023-07,Azrieli TLV,Unknown,CHURN,45,31,14,0,5,2628.01,
2023-07,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,1,1,0,0,0,105.75,
2023-07,Azrieli TLV,Unknown,TRIAL,0,0,0,0,4,,
2023-07,Gindi 1,Unknown,CHURN,32,20,12,0,14,1358.08,
2023-07,Gindi 1,Unknown,COLD_LEAD,0,0,0,0,1,,
2023-07,Gindi 1,Unknown,FROZEN,1,0,1,0,1,57.26,
2023-07,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,1,0,1,0,1,0.0,
2023-07,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,3,1,2,0,0,276.99,
2023-07,Gindi 1,Unknown,TRIAL,4,3,1,0,3,89.04,
2023-08,100 House,Hoboken Polygon,CHURN,1,1,0,0,1,160.8,
2023-08,100 House,Hoboken Polygon,FREEMIUM,2,2,0,0,0,160.0,
2023-08,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,1,0,1,0,0,108.8,
2023-08,Azrieli TLV,Unknown,CHURN,50,39,11,0,14,2963.84,
2023-08,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,3,1,2,0,1,78.63,
2023-08,Gindi 1,Unknown,CHURN,55,45,10,0,18,2652.33,
2023-08,Gindi 1,Unknown,FROZEN,6,5,1,0,1,187.12,
2023-08,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,8,3,5,0,6,531.51,
2023-08,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,12,7,5,0,5,722.19,
2023-08,Gindi 1,Unknown,TRIAL,8,4,4,0,4,409.82,
2023-08,Gindi 2,Unknown,CHURN,22,16,6,0,13,1181.1,
2023-08,Gindi 2,Unknown,COLD_LEAD,0,0,0,0,5,,
2023-08,Gindi 2,Unknown,ON_DEMAND_SUBSCRIPTION,5,1,4,0,5,216.44,
2023-08,Gindi 2,Unknown,TRIAL,8,7,1,0,1,458.63,
2023-08,Gindi 3,Unknown,COLD_LEAD,0,0,0,0,1,,
2023-08,Gindi 4,Unknown,CHURN,6,0,6,0,4,107.95,
2023-08,One Ten,Hoboken Polygon,FREEMIUM,0,0,0,0,1,,
2023-08,One Ten,Hoboken Polygon,RECURRING_SUBSCRIPTION,1,0,1,0,0,100.0,
2023-09,100 House,Hoboken Polygon,CHURN,2,2,0,0,1,260.8,
2023-09,100 House,Hoboken Polygon,FREEMIUM,0,0,0,0,2,,
2023-09,100 House,Hoboken Polygon,ON_DEMAND_SUBSCRIPTION,2,1,1,0,1,139.8,
2023-09,829 Garfield,Floating Jersey,CHURN,2,1,1,0,2,199.0,
2023-09,Azrieli TLV,Unknown,CHURN,53,51,2,0,4,3004.35,
2023-09,Azrieli TLV,Unknown,FROZEN,0,0,0,0,2,,
2023-09,Azrieli TLV,Unknown,ON_DEMAND_SUBSCRIPTION,6,5,1,0,0,176.64,
2023-09,Azrieli TLV,Unknown,TRIAL,1,1,0,0,0,0.0,
2023-09,Gindi 1,Unknown,CHURN,60,53,7,0,16,2710.36,
2023-09,Gindi 1,Unknown,COLD_LEAD,0,0,0,0,2,,
2023-09,Gindi 1,Unknown,FROZEN,3,1,2,0,1,114.52,
2023-09,Gindi 1,Unknown,ON_DEMAND_SUBSCRIPTION,1,1,0,0,1,51.78,
2023-09,Gindi 1,Unknown,RECURRING_SUBSCRIPTION,8,6,2,0,3,573.42,
2023-09,Gindi 1,Unknown,TRIAL,2,1,1,0,0,133.97,
2023-09,Gindi 2,Unknown,CHURN,32,25,7,0,11,2381.21,
2023-09,Gindi 2,Unknown,COLD_LEAD,0,0,0,0,1,,
2023-09,Gindi 2,Unknown,ON_DEMAND_SUBSCRIPTION,6,1,5,0,0,400.27,
2023-09,Gindi 2,Unknown,RECURRING_SUBSCRIPTION,1,1,0,0,0,43.84,
2023-09,Gindi 2,Unknown,TRIAL,7,7,0,0,4,441.1,
2023-09,Gindi 3,Unknown,CHURN,9,5,4,0,3,742.19,
2023-09,Gindi 3,Unknown,ON_DEMAND_SUBSCRIPTION,8,5,3,0,0,461.64,
