visit_month,finished_completed,pending,cancelled,finished_pct,avg_duration_mins
2023-05,20,0,0,100.0,
2023-06,44,0,4,91.7,
2023-07,88,0,31,73.9,
2023-08,188,0,80,70.1,
2023-09,227,0,62,78.5,
2023-10,285,0,131,68.5,
2023-11,340,0,111,75.4,
2023-12,412,0,184,69.1,
2024-01,537,0,276,66.1,
2024-02,477,0,238,66.7,
2024-03,576,0,231,71.4,106.0
2024-04,582,0,339,63.2,105.0
2024-05,650,0,237,73.3,103.0
2024-06,663,0,201,76.7,96.0
2024-07,780,0,330,70.3,101.0
2024-08,738,0,341,68.4,97.0
2024-09,811,0,299,73.1,91.0
2024-10,813,0,469,63.4,88.0
2024-11,844,0,266,76.0,86.0
2024-12,895,0,299,75.0,86.0
2025-01,964,0,393,71.0,87.0
2025-02,874,0,380,69.7,85.0
2025-03,918,0,421,68.6,81.0
2025-04,1200,0,595,66.9,72.0
2025-05,934,0,445,67.7,85.0
2025-06,874,0,586,59.9,87.0
2025-07,1030,0,566,64.5,88.0
2025-08,1038,0,458,69.4,85.0
2025-09,1127,0,589,65.7,86.0
2025-10,1311,0,817,61.6,85.0
2025-11,1297,0,851,60.4,84.0
2025-12,1552,0,1163,57.2,83.0
2026-01,1522,0,1039,59.4,82.0
2026-02,1562,0,891,63.7,82.0
2026-03,1705,0,1377,55.3,83.0
2026-04,1649,0,1529,51.9,79.0
2026-05,1571,10,1683,48.3,76.0
2026-06,0,1410,890,0.0,
2026-07,0,1149,223,0.0,
